m-start,m-end,lag,cycleaverage,allaverage,cycle
2022-03-18 10:27:03.621932,2022-03-18 10:27:04.623876,2,2.0,2.0,0
2022-03-18 10:27:04.875453,2022-03-18 10:27:05.882640,6,4.0,4.0,0
2022-03-18 10:27:06.166847,2022-03-18 10:27:07.186408,19,9.0,9.0,0
2022-03-18 10:27:07.421032,2022-03-18 10:27:08.440270,18,11.25,11.25,0
2022-03-18 10:27:08.676162,2022-03-18 10:27:09.682921,6,10.2,10.2,0
2022-03-18 10:27:09.917918,2022-03-18 10:27:10.926907,9,10.0,10.0,0
2022-03-18 10:27:11.195828,2022-03-18 10:27:12.209961,13,10.429,10.429,0
2022-03-18 10:27:12.446303,2022-03-18 10:27:13.465469,19,11.5,11.5,0
2022-03-18 10:30:50.966190,2022-03-18 10:30:51.997624,30,30.0,30.0,1
2022-03-18 10:30:51.998625,2022-03-18 10:30:53.013681,15,22.5,22.5,1
2022-03-18 10:30:53.016670,2022-03-18 10:30:54.029510,13,19.333,19.333,1
2022-03-18 10:30:54.044091,2022-03-18 10:30:55.077741,33,22.75,22.75,1
2022-03-18 10:30:55.081404,2022-03-18 10:30:56.096019,14,21.0,21.0,1
2022-03-18 10:30:56.097019,2022-03-18 10:30:57.099642,1,17.667,17.667,1
2022-03-18 10:30:57.101749,2022-03-18 10:30:58.106139,5,15.857,15.857,1
2022-03-18 10:31:01.111671,2022-03-18 10:31:02.127054,15,15.75,15.75,1
2022-03-18 10:31:02.128103,2022-03-18 10:31:03.131221,2,14.222,14.222,1
2022-03-18 10:31:03.133804,2022-03-18 10:31:04.146756,12,14.0,14.0,1
2022-03-18 10:31:04.152739,2022-03-18 10:31:05.166921,14,14.0,14.0,1
2022-03-18 10:31:05.168915,2022-03-18 10:31:06.171896,3,13.083,13.083,1
2022-03-18 10:31:06.173928,2022-03-18 10:31:07.191700,17,13.385,13.385,1
2022-03-18 10:31:07.194844,2022-03-18 10:31:08.211181,17,13.643,13.643,1
2022-03-18 10:31:08.213139,2022-03-18 10:31:09.224731,11,13.467,13.467,1
2022-03-18 10:31:09.225698,2022-03-18 10:31:10.241022,16,13.625,13.625,1
2022-03-18 10:31:10.243698,2022-03-18 10:31:11.257256,13,13.588,13.588,1
2022-03-18 10:31:11.258878,2022-03-18 10:31:12.275657,17,13.778,13.778,1
2022-03-18 10:31:12.276275,2022-03-18 10:31:13.291647,15,13.842,13.842,1
2022-03-18 10:31:13.292636,2022-03-18 10:31:14.303147,11,13.7,13.7,1
2022-03-18 10:31:14.304143,2022-03-18 10:31:15.321406,16,13.81,13.81,1
2022-03-18 10:31:15.324403,2022-03-18 10:31:16.336425,11,13.682,13.682,1
2022-03-18 10:31:16.338062,2022-03-18 10:31:17.343921,4,13.261,13.261,1
2022-03-18 10:31:17.345881,2022-03-18 10:31:18.363972,18,13.458,13.458,1
